carrier,num_flights,arrdelay_mean,carrier_delay_mean,weather_delay_mean,nas_delay_mean,security_delay_mean,late_aircraft_delay_mean
AA,302790,8.9787,5.9546,1.0132,2.9683,0.0237,7.4052
AS,71431,1.298,2.7802,0.4473,2.7714,0.0411,3.6297
B6,75680,6.145,4.4924,0.4345,4.3077,0.0265,7.0813
DL,312503,4.1942,5.8675,0.894,2.7931,0.0069,4.0557
F9,65965,11.3162,5.9238,0.492,3.9465,0.0,10.4157
G4,42596,9.5371,5.6823,2.0382,4.2689,0.1556,7.5382
HA,25707,5.8108,4.4644,0.5396,0.0962,0.0241,3.286
MQ,87416,5.317,3.0928,1.5452,3.0601,0.0171,5.1499
NK,70759,2.3906,3.1766,0.289,6.2246,0.0344,3.0829
OH,78476,17.1557,7.2444,1.6614,3.3066,0.0324,12.1337
OO,259692,7.5909,7.9324,2.4683,2.6802,0.0199,3.3784
UA,248433,2.4649,3.3872,0.6107,3.8325,0.0007,4.4783
WN,439584,1.7629,2.6176,0.2756,1.9656,0.0242,4.8474
YX,107744,0.6921,2.8891,0.54,3.7601,0.0074,3.4748
